VehID,TimeStep,SpeedProfile
925,42.3,11.07841
925,42.35,11.135985
925,42.4,11.19356
925,42.45,11.23831
925,42.5,11.28306
925,42.55,11.31384
925,42.6,11.34462
925,42.65,11.360355
925,42.7,11.37609
925,42.75,11.37585
925,42.8,11.37561
925,42.85,11.358765
925,42.9,11.34192
925,42.95,11.30841
925,43,11.2749
925,43.05,11.225835
925,43.1,11.17677
925,43.15,11.115525
925,43.2,11.05428
925,43.25,10.98875
925,43.3,10.92322
925,43.35,10.87007
925,43.4,10.81692
925,43.45,10.79164
925,43.5,10.76636
925,43.55,10.76837
925,43.6,10.77038
925,43.65,10.79258
925,43.7,10.81478
925,43.75,10.853095
925,43.8,10.89141
925,43.85,10.941045
925,43.9,10.99068
925,43.95,11.044055
925,44,11.09743
925,44.05,11.14549
925,44.1,11.19355
925,44.15,11.229
925,44.2,11.26445
925,44.25,11.283665
925,44.3,11.30288
925,44.35,11.30518
925,44.4,11.30748
925,44.45,11.293555
925,44.5,11.27963
925,44.55,11.25178
925,44.6,11.22393
925,44.65,11.187485
925,44.7,11.15104
925,44.75,11.113785
925,44.8,11.07653
925,44.85,11.04481
925,44.9,11.01309
925,44.95,10.988015
925,45,10.96294
925,45.05,10.94071
925,45.1,10.91848
925,45.15,10.89486
925,45.2,10.87124
925,45.25,10.84571
925,45.3,10.82018
925,45.35,10.795895
925,45.4,10.77161
925,45.45,10.752205
925,45.5,10.7328
925,45.55,10.719675
925,45.6,10.70655
925,45.65,10.69873
925,45.7,10.69091
925,45.75,10.6866
925,45.8,10.68229
925,45.85,10.680145
925,45.9,10.678
925,45.95,10.677355
925,46,10.67671
925,46.05,10.67738
925,46.1,10.67805
925,46.15,10.68025
925,46.2,10.68245
925,46.25,10.68693
925,46.3,10.69141
925,46.35,10.69962
925,46.4,10.70783
925,46.45,10.722275
925,46.5,10.73672
925,46.55,10.76151
925,46.6,10.7863
925,46.65,10.82733
925,46.7,10.86836
925,46.75,10.9315
925,46.8,10.99464
925,46.85,11.081645
925,46.9,11.16865
925,46.95,11.27365
925,47,11.37865
925,47.05,11.489425
925,47.1,11.6002
925,47.15,11.70431
925,47.2,11.80842
925,47.25,11.897735
925,47.3,11.98705
925,47.35,12.057265
925,47.4,12.12748
925,47.45,12.176205
925,47.5,12.22493
925,47.55,12.25079
925,47.6,12.27665
925,47.65,12.27885
925,47.7,12.28105
925,47.75,12.25921
925,47.8,12.23737
925,47.85,12.19156
925,47.9,12.14575
925,47.95,12.07675
925,48,12.00775
925,48.05,11.91765
925,48.1,11.82755
925,48.15,11.72093
925,48.2,11.61431
925,48.25,11.50055
925,48.3,11.38679
925,48.35,11.27972
925,48.4,11.17265
925,48.45,11.08463
925,48.5,10.99661
925,48.55,10.933005
925,48.6,10.8694
925,48.65,10.82813
925,48.7,10.78686
925,48.75,10.7619
925,48.8,10.73694
925,48.85,10.72235
925,48.9,10.70776
925,48.95,10.6994
925,49,10.69104
925,49.05,10.686345
925,49.1,10.68165
925,49.15,10.67906
925,49.2,10.67647
925,49.25,10.675095
925,49.3,10.67372
925,49.35,10.6731
925,49.4,10.67248
925,49.45,10.672455
925,49.5,10.67243
925,49.55,10.67294
925,49.6,10.67345
925,49.65,10.674445
925,49.7,10.67544
925,49.75,10.676715
925,49.8,10.67799
925,49.85,10.6791
925,49.9,10.68021
925,49.95,10.68062
925,50,10.68103
925,50.05,10.680515
925,50.1,10.68
925,50.15,10.67881
925,50.2,10.67762
925,50.25,10.67629
925,50.3,10.67496
925,50.35,10.67386
925,50.4,10.67276
925,50.45,10.671975
925,50.5,10.67119
925,50.55,10.670635
925,50.6,10.67008
925,50.65,10.669625
925,50.7,10.66917
925,50.75,10.66869
925,50.8,10.66821
925,50.85,10.667555
925,50.9,10.6669
925,50.95,10.66584
925,51,10.66478
925,51.05,10.66297
925,51.1,10.66116
925,51.15,10.658045
925,51.2,10.65493
925,51.25,10.64955
925,51.3,10.64417
925,51.35,10.63493
925,51.4,10.62569
925,51.45,10.610585
925,51.5,10.59548
925,51.55,10.5736
925,51.6,10.55172
925,51.65,10.525755
925,51.7,10.49979
925,51.75,10.476695
925,51.8,10.4536
925,51.85,10.44111
925,51.9,10.42862
925,51.95,10.42935
925,52,10.43008
925,52.05,10.4384
925,52.1,10.44672
925,52.15,10.451895
925,52.2,10.45707
925,52.25,10.45025
925,52.3,10.44343
925,52.35,10.422895
925,52.4,10.40236
925,52.45,10.37346
925,52.5,10.34456
925,52.55,10.315395
925,52.6,10.28623
925,52.65,10.262855
925,52.7,10.23948
925,52.75,10.223775
925,52.8,10.20807
925,52.85,10.19878
925,52.9,10.18949
925,52.95,10.18448
925,53,10.17947
925,53.05,10.17705
925,53.1,10.17463
925,53.15,10.173665
925,53.2,10.1727
1780,0,8.96209
1780,0.05,8.764
1780,0.1,8.56591
1780,0.15,8.542935
